timestamp,cpu_usage,tcp_connections,udp_connections,packet_rate
2024-06-19 16:29:00,7,1282,60,187
2024-06-19 16:29:30,8,1302,65,138
2024-06-19 16:30:00,8,1317,75,162
2024-06-19 16:30:30,8,1325,71,130
2024-06-19 16:31:00,8,1312,66,132
2024-06-19 16:31:30,8,1294,66,156
2024-06-19 16:32:00,7,1285,72,154
2024-06-19 16:32:30,8,1302,111,165
2024-06-19 16:33:00,8,1299,101,130
2024-06-19 16:33:30,8,1299,57,165
2024-06-19 16:34:00,8,1306,86,176
2024-06-19 16:34:30,8,1304,88,131
2024-06-19 16:35:00,8,1304,71,145
2024-06-19 16:35:30,8,1319,78,135
2024-06-19 16:36:00,8,1324,75,165
2024-06-19 16:36:30,7,333,70,121
2024-06-19 16:37:00,4,477,105,135
2024-06-19 16:37:30,5,777,91,141
2024-06-19 16:38:00,7,1058,68,161
2024-06-19 16:38:30,8,1274,77,164
2024-06-19 16:39:00,9,1316,118,141
2024-06-19 16:39:30,8,1305,111,170
2024-06-19 16:40:00,8,1317,77,125
2024-06-19 16:40:30,8,1322,61,140
2024-06-19 16:41:00,8,1308,70,139
2024-06-19 16:41:30,8,1323,78,159
2024-06-19 16:42:00,8,1317,68,128
2024-06-19 16:42:30,8,1323,58,142
2024-06-19 16:43:00,8,1314,48,130
2024-06-19 16:43:30,7,1302,62,134
2024-06-19 16:44:00,8,1290,82,123
2024-06-19 16:44:30,8,1281,64,131
2024-06-19 16:45:00,8,1279,46,173
2024-06-19 16:45:30,7,1284,56,130
2024-06-19 16:46:00,8,1287,64,144
2024-06-19 16:46:30,9,707,159,623
2024-06-19 16:47:00,7,348,193,232
2024-06-19 16:47:30,6,681,229,461
2024-06-19 16:48:00,8,1090,247,456
2024-06-19 16:48:30,9,1475,140,204
2024-06-19 16:49:00,11,1770,116,206
2024-06-19 16:49:30,10,1576,102,301
2024-06-19 16:50:00,10,1472,107,104
2024-06-19 16:50:30,8,1372,100,92
