2024-08-22 17:12:06, CPU USAGE: 45%, TOTAL MEM: 251776 KB, USED MEM: 35564 KB, FREE MEM: 188792 KB
2024-08-22 17:12:07, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35588 KB, FREE MEM: 188668 KB
2024-08-22 17:12:09, CPU USAGE: 14%, TOTAL MEM: 251776 KB, USED MEM: 35536 KB, FREE MEM: 188812 KB
2024-08-22 17:12:10, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35588 KB, FREE MEM: 188904 KB
2024-08-22 17:12:11, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35564 KB, FREE MEM: 188864 KB
2024-08-22 17:12:12, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35776 KB, FREE MEM: 188060 KB
2024-08-22 17:12:13, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35688 KB, FREE MEM: 188364 KB
2024-08-22 17:12:14, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35580 KB, FREE MEM: 188848 KB
2024-08-22 17:12:15, CPU USAGE: 34%, TOTAL MEM: 251776 KB, USED MEM: 35832 KB, FREE MEM: 188820 KB
2024-08-22 17:12:16, CPU USAGE: 14%, TOTAL MEM: 251776 KB, USED MEM: 35564 KB, FREE MEM: 188880 KB
2024-08-22 17:12:17, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35968 KB, FREE MEM: 187588 KB
2024-08-22 17:12:18, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35524 KB, FREE MEM: 188880 KB
2024-08-22 17:12:20, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35500 KB, FREE MEM: 188936 KB
2024-08-22 17:12:21, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35688 KB, FREE MEM: 188812 KB
2024-08-22 17:12:22, CPU USAGE: 15%, TOTAL MEM: 251776 KB, USED MEM: 35628 KB, FREE MEM: 188828 KB
2024-08-22 17:12:23, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35500 KB, FREE MEM: 188864 KB
2024-08-22 17:12:24, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35500 KB, FREE MEM: 188896 KB
2024-08-22 17:12:25, CPU USAGE: 28%, TOTAL MEM: 251776 KB, USED MEM: 35564 KB, FREE MEM: 188824 KB
2024-08-22 17:12:26, CPU USAGE: 26%, TOTAL MEM: 251776 KB, USED MEM: 35464 KB, FREE MEM: 188976 KB
2024-08-22 17:12:27, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35380 KB, FREE MEM: 188956 KB
2024-08-22 17:12:28, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35516 KB, FREE MEM: 188828 KB
2024-08-22 17:12:29, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35492 KB, FREE MEM: 188896 KB
2024-08-22 17:12:30, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35540 KB, FREE MEM: 188308 KB
2024-08-22 17:12:31, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35280 KB, FREE MEM: 189000 KB
2024-08-22 17:12:33, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 37196 KB, FREE MEM: 188568 KB
2024-08-22 17:12:34, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 36000 KB, FREE MEM: 188812 KB
2024-08-22 17:12:35, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35492 KB, FREE MEM: 188844 KB
2024-08-22 17:12:36, CPU USAGE: 20%, TOTAL MEM: 251776 KB, USED MEM: 35612 KB, FREE MEM: 188888 KB
2024-08-22 17:12:37, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35560 KB, FREE MEM: 188924 KB
